age,height_cm,weight_kg,sleep_hours,hydration_litres,weekly_sprint_sessions,recovery_days,max_squat_kg,max_deadlift_kg,reaction_time_sec,personal_best_100m,sprint_time_100m
22,159.5,79.7,6.5,1.8,1,1,122.7,55.4,0.132,10.93,11.17
23,181.0,71.8,6.4,3.0,1,2,137.7,107.8,0.14,12.6,12.68
13,169.4,63.8,6.6,1.6,4,1,176.2,114.4,0.192,14.03,14.38
21,162.7,52.8,8.1,3.4,1,2,161.3,114.6,0.179,11.77,11.95
22,165.7,87.5,8.1,3.0,2,2,62.9,114.5,0.249,11.59,11.88
25,185.7,52.2,8.8,3.5,4,3,49.3,205.2,0.194,11.82,12.05
22,173.4,60.6,6.5,2.9,3,4,165.7,117.9,0.149,12.16,12.24
12,189.4,56.1,6.1,3.2,5,1,93.9,151.3,0.181,12.82,13.2
22,183.8,77.3,7.6,2.2,6,3,55.6,123.9,0.179,11.87,12.02
20,185.5,70.3,5.9,3.1,6,2,61.4,179.6,0.19,11.52,11.57
17,174.5,54.5,7.0,4.0,3,2,48.1,199.3,0.243,11.67,11.75
24,176.3,55.0,8.1,3.9,2,3,113.9,153.1,0.245,12.59,12.88
23,167.5,89.8,8.1,2.6,5,4,56.9,88.2,0.164,11.8,11.92
13,183.3,52.4,5.8,1.6,3,1,112.0,97.3,0.183,13.83,14.19
21,173.9,81.4,8.7,2.0,1,4,89.6,119.9,0.232,10.62,10.9
12,171.1,63.6,8.9,2.1,2,4,59.6,81.2,0.18,14.21,14.54
25,177.0,52.0,9.5,3.6,1,2,63.3,132.6,0.148,11.47,11.65
18,165.6,81.4,7.3,2.6,6,4,61.7,100.4,0.246,11.18,11.49
12,157.0,69.1,9.2,2.8,1,1,159.2,61.6,0.129,13.98,14.36
21,164.8,73.8,8.0,2.5,5,3,170.9,84.7,0.213,10.28,10.57
16,173.3,87.2,9.2,1.5,5,1,50.3,86.2,0.154,12.72,13.08
17,166.4,67.5,7.7,2.3,6,1,133.5,144.3,0.241,11.31,11.45
13,184.7,56.2,6.6,2.0,3,2,136.2,195.0,0.186,13.25,13.32
22,171.9,61.1,5.5,3.4,6,3,62.6,125.1,0.212,10.95,11.33
23,191.2,71.8,8.8,3.0,2,4,57.8,102.4,0.237,12.32,12.69
15,182.3,76.7,6.9,2.9,4,2,169.6,90.2,0.141,12.33,12.52
14,184.5,63.3,9.2,3.5,6,2,77.4,183.9,0.134,13.83,13.96
25,191.7,64.0,8.8,3.7,2,1,132.4,117.7,0.156,10.98,11.15
20,171.0,89.2,7.6,3.8,1,3,65.0,213.6,0.155,10.44,10.74
17,172.5,89.4,6.0,3.7,2,3,46.2,124.1,0.188,12.96,13.34
23,181.8,64.6,5.8,3.2,3,3,132.9,71.2,0.237,12.06,12.23
23,166.8,55.1,7.2,3.9,6,2,126.2,101.2,0.191,10.54,10.74
21,179.3,62.9,7.3,3.2,5,4,151.1,213.2,0.216,11.02,11.3
21,168.4,82.7,8.5,3.2,2,2,60.6,57.9,0.248,11.7,11.9
22,178.0,78.7,7.0,2.5,2,1,165.0,196.3,0.235,11.45,11.79
23,175.7,52.0,6.5,3.6,4,2,152.2,163.5,0.248,11.85,12.21
21,187.6,85.7,7.2,3.8,4,2,144.1,130.7,0.154,10.4,10.71
20,174.4,59.6,7.3,3.3,2,3,87.0,201.8,0.13,10.53,10.63
15,157.6,66.3,7.7,2.5,2,4,94.5,180.9,0.243,11.5,11.75
19,155.2,64.1,8.5,3.6,4,2,108.4,96.4,0.183,10.66,10.99
23,161.6,68.7,6.0,3.1,1,4,122.9,162.7,0.131,11.9,12.02
16,170.2,58.5,6.8,3.4,4,3,145.3,191.4,0.153,10.98,11.22
17,164.0,52.7,9.3,1.6,1,2,67.9,53.5,0.14,11.68,11.93
15,173.6,60.2,7.0,3.0,6,1,148.9,77.8,0.16,12.09,12.34
18,170.9,78.6,5.8,3.2,6,2,54.3,181.3,0.231,10.87,11.26
24,156.6,71.3,8.1,1.7,6,3,41.8,121.4,0.184,11.1,11.46
19,183.3,67.4,8.4,3.9,3,4,105.1,190.4,0.197,10.44,10.82
16,190.3,59.8,7.4,3.0,4,3,44.0,194.7,0.144,11.59,11.76
21,183.0,61.1,5.5,3.9,1,2,140.8,133.1,0.219,11.84,12.06
24,155.7,61.8,7.1,2.1,6,3,106.3,140.3,0.175,11.68,11.98
16,167.3,59.2,8.4,2.3,6,2,66.8,175.6,0.156,11.87,12.13
13,188.3,61.8,6.9,2.3,6,2,78.4,215.6,0.192,13.31,13.66
19,159.1,50.5,6.6,2.7,3,2,175.2,92.9,0.232,10.46,10.68
21,180.2,52.1,6.1,2.9,3,1,179.1,70.1,0.219,11.74,11.86
20,170.2,86.3,6.7,3.0,4,3,119.6,60.2,0.245,10.64,10.91
16,181.4,56.3,6.2,1.7,1,4,103.1,150.9,0.158,11.99,12.28
19,157.8,59.3,6.6,3.5,5,2,99.5,142.6,0.204,11.98,12.06
14,186.7,73.8,8.8,3.8,4,1,105.6,101.7,0.172,12.85,13.05
21,156.6,67.3,6.8,2.1,1,2,174.7,192.1,0.195,12.03,12.31
16,178.0,80.5,6.2,2.8,4,3,65.4,149.5,0.203,12.1,12.27
17,167.8,54.2,6.1,2.5,4,3,132.8,118.1,0.219,11.37,11.51
13,193.8,66.2,7.6,4.0,6,4,97.9,81.9,0.167,13.74,14.06
15,165.7,55.2,6.7,3.7,4,1,44.0,157.1,0.224,12.76,12.82
18,158.7,89.7,9.2,2.7,1,2,109.8,171.8,0.186,10.66,11.05
15,173.3,55.8,6.3,3.0,6,2,161.0,97.0,0.223,11.94,12.16
25,155.1,79.0,8.8,2.9,6,4,161.1,125.9,0.183,11.05,11.23
17,189.8,89.2,6.5,2.5,4,1,84.5,130.4,0.239,12.13,12.46
22,194.2,69.8,5.6,2.8,5,3,161.8,198.6,0.177,10.76,11.06
18,189.8,88.8,5.8,3.5,3,3,127.3,117.6,0.13,10.92,11.16
17,180.1,85.5,7.5,2.9,5,1,72.9,166.3,0.157,11.11,11.5
24,180.3,84.9,7.3,3.2,1,1,85.4,59.5,0.167,11.85,12.04
22,186.7,56.8,5.8,3.7,5,2,109.7,149.1,0.15,11.12,11.4
24,173.6,61.5,7.7,1.7,3,3,129.5,122.1,0.153,12.15,12.33
19,159.3,65.3,6.9,2.2,6,3,43.1,191.1,0.171,9.96,10.28
12,191.4,79.8,8.8,3.8,2,3,70.7,82.3,0.153,14.08,14.37
14,180.1,86.1,8.1,2.3,4,1,121.1,174.5,0.132,13.0,13.11
14,186.5,85.1,7.0,2.8,3,2,76.0,190.2,0.183,14.23,14.4
13,173.7,53.0,8.5,2.1,6,4,175.4,186.8,0.168,13.48,13.72
19,169.7,80.0,6.5,2.5,6,3,55.2,89.7,0.123,11.46,11.83
15,180.9,75.4,7.4,3.3,6,4,56.3,57.7,0.125,12.76,12.89
20,160.4,68.1,8.2,3.4,5,4,122.2,173.5,0.235,11.22,11.48
16,156.3,64.8,7.3,3.9,3,1,177.3,112.4,0.237,12.35,12.49
13,193.0,83.0,5.9,2.0,6,1,47.1,106.7,0.249,14.0,14.34
20,163.3,58.6,9.0,2.3,2,1,78.8,217.3,0.248,11.47,11.56
25,156.0,50.6,8.7,2.1,3,1,64.4,58.9,0.216,12.05,12.26
24,169.5,73.7,7.3,2.1,5,1,141.8,204.5,0.206,11.19,11.25
19,188.9,67.1,5.9,3.3,4,1,165.9,104.8,0.139,10.3,10.55
23,168.0,89.8,7.6,2.6,5,4,53.9,169.3,0.231,11.94,12.25
15,172.2,85.5,7.2,3.6,4,4,142.1,103.1,0.161,11.69,11.98
19,157.7,83.3,5.9,1.7,6,3,153.6,144.6,0.196,11.12,11.21
17,189.9,87.6,7.2,3.8,1,3,124.1,109.8,0.195,12.04,12.17
13,169.0,72.3,6.0,2.2,2,4,158.3,215.7,0.226,14.04,14.1
22,188.2,60.7,6.2,3.3,3,3,89.1,80.8,0.139,11.31,11.62
12,158.7,71.2,7.0,2.6,2,3,83.6,105.1,0.242,14.2,14.3
24,179.7,77.0,6.6,3.2,4,4,98.0,86.6,0.187,11.29,11.58
21,174.5,76.7,5.7,2.5,5,1,41.1,101.2,0.147,10.42,10.59
12,174.9,67.2,6.0,2.8,2,3,50.1,196.5,0.125,12.6,12.95
21,172.2,66.2,8.1,2.2,4,1,175.3,79.2,0.243,11.08,11.26
18,188.8,59.7,7.9,2.8,4,3,144.4,87.7,0.221,10.36,10.59
15,191.2,64.0,8.4,3.5,2,2,54.4,93.5,0.143,11.73,11.81
24,180.1,68.6,7.8,2.9,6,3,161.0,156.6,0.14,10.4,10.56
16,178.7,64.1,5.8,2.7,1,1,91.6,98.8,0.204,13.25,13.51
18,173.5,72.2,8.7,3.7,4,2,85.0,130.9,0.14,9.69,10.06
17,194.3,53.4,8.1,1.6,6,4,178.7,139.1,0.199,11.76,11.95
24,168.5,73.9,8.7,3.1,1,3,53.2,165.3,0.157,11.97,12.34
25,161.0,53.3,8.2,3.8,3,4,58.1,170.5,0.131,11.85,12.01
14,181.8,83.2,8.5,3.2,5,1,130.4,122.0,0.167,12.92,13.05
24,174.5,59.1,6.1,1.7,1,1,132.7,199.0,0.2,12.11,12.22
23,185.8,82.4,6.2,2.6,4,3,134.7,90.4,0.178,11.41,11.62
20,164.6,88.6,8.6,3.8,2,3,135.0,147.0,0.177,11.67,11.89
18,193.7,82.7,8.7,1.8,3,1,129.8,198.6,0.192,10.2,10.55
16,158.4,56.4,7.3,2.8,4,1,172.5,87.7,0.179,11.78,11.85
20,170.0,65.4,5.8,2.1,3,1,157.5,160.5,0.223,10.37,10.71
23,188.2,80.4,7.4,3.0,1,1,75.8,191.9,0.191,12.36,12.45
16,164.5,54.9,6.5,3.1,5,4,48.8,192.2,0.185,12.18,12.43
23,160.7,67.2,8.0,2.1,4,2,133.0,64.6,0.247,10.91,11.14
20,177.2,65.6,7.4,3.1,3,3,144.6,110.7,0.129,10.68,10.77
21,184.4,63.3,5.7,2.9,6,2,156.3,166.4,0.248,10.9,10.99
23,186.0,68.3,6.7,1.6,2,1,84.2,102.7,0.172,12.57,12.63
22,162.6,64.3,8.6,3.7,3,3,57.4,112.6,0.236,11.81,11.99
14,174.8,69.9,9.2,2.8,1,4,51.0,152.4,0.227,13.89,13.97
22,166.8,67.8,8.4,1.9,4,3,102.6,173.6,0.239,11.12,11.39
24,192.9,53.0,8.1,2.4,6,2,173.4,74.3,0.199,11.85,11.93
24,180.8,64.5,9.3,1.6,2,4,172.8,113.2,0.219,11.87,12.06
22,166.1,88.4,5.6,2.0,5,4,167.9,70.0,0.221,11.51,11.78
23,191.7,69.6,6.0,3.6,4,2,165.8,125.7,0.131,11.87,12.03
17,183.4,72.0,6.7,2.2,2,2,151.1,136.5,0.136,11.25,11.57
12,169.4,72.9,7.4,4.0,2,1,49.2,117.7,0.213,13.68,13.87
21,158.0,88.9,8.1,2.6,6,3,58.0,190.9,0.192,11.19,11.29
20,191.4,52.2,6.0,1.9,2,2,85.2,170.6,0.165,12.12,12.47
16,162.9,88.3,6.6,3.1,5,1,110.4,78.7,0.242,11.58,11.88
21,168.5,87.0,5.7,3.7,1,1,172.8,181.1,0.154,10.73,11.0
12,174.9,75.1,6.7,3.9,4,2,152.7,166.4,0.159,12.24,12.44
19,173.6,63.6,6.1,3.7,3,3,176.6,72.2,0.168,11.24,11.45
16,173.0,55.6,5.7,3.9,5,4,74.8,197.1,0.141,11.8,11.96
24,161.4,89.8,7.4,3.7,4,1,52.6,116.9,0.179,11.48,11.54
16,174.8,85.3,8.1,2.7,5,1,158.6,123.3,0.235,12.46,12.64
18,157.0,72.5,7.0,2.2,4,4,147.0,97.6,0.249,11.21,11.6
18,169.9,89.5,7.7,2.4,2,2,124.3,118.2,0.125,10.21,10.55
20,173.3,74.3,7.6,2.3,5,3,62.8,218.4,0.216,10.33,10.67
20,174.6,72.5,7.4,1.5,3,1,177.2,149.2,0.224,11.67,11.73
19,165.6,76.2,9.4,2.9,2,1,121.7,79.0,0.202,11.55,11.65
22,164.7,72.9,8.3,2.0,4,3,98.6,120.2,0.147,10.91,11.12
25,184.4,52.5,6.1,2.0,3,4,113.6,103.3,0.143,12.58,12.76
24,189.7,77.2,8.7,2.2,4,2,174.0,97.4,0.159,12.1,12.42
23,163.3,78.2,6.8,2.4,6,3,80.3,147.5,0.191,12.12,12.3
24,187.2,61.6,6.7,3.3,3,4,131.8,177.0,0.148,12.08,12.32
16,160.5,74.6,7.8,2.1,6,2,129.3,58.9,0.174,11.93,12.25
12,193.6,89.1,6.1,3.1,4,4,131.1,178.5,0.157,12.82,13.14
22,178.0,71.4,8.4,3.8,2,4,163.5,79.9,0.24,12.09,12.31
